Author	License	Name	URL	Version	File
Armin Ronacher	BSD License	Babel	https://babel.pocoo.org/	2.14.0	.licenses\LICENSE.Babel.2.14.0(BSD License).txt
Armin Ronacher	BSD License	Jinja2	https://palletsprojects.com/p/jinja/	3.1.2	.licenses\LICENSE.Jinja2.3.1.2(BSD License).txt
Manfred Stienstra, Yuri Takhteyev	BSD License	Markdown	https://Python-Markdown.github.io/	3.5.1	.licenses\LICENSE.Markdown.3.5.1(BSD License).txt
UNKNOWN	BSD License	MarkupSafe	https://palletsprojects.com/p/markupsafe/	2.1.3	.licenses\LICENSE.MarkupSafe.2.1.3(BSD License).txt
Jeffrey A. Clark (Alex)	Historical Permission Notice and Disclaimer (HPND)	Pillow	https://python-pillow.org	10.1.0	.licenses\LICENSE.Pillow.10.1.0(Historical Permission Notice and Disclaimer (HPND)).txt
Kirill Simonov	MIT License	PyYAML	https://pyyaml.org/	6.0.1	.licenses\LICENSE.PyYAML.6.0.1(MIT License).txt
Georg Brandl <georg@python.org>	BSD License	Pygments	https://pygments.org	2.17.2	.licenses\LICENSE.Pygments.2.17.2(BSD License).txt
Georg Brandl <georg@python.org>	BSD License	Sphinx	https://www.sphinx-doc.org/	7.2.6	.licenses\LICENSE.Sphinx.7.2.6(BSD License).txt
Mats Julian Olsen	MIT License	addict	https://github.com/mewwts/addict	2.4.0	.licenses\LICENSE.addict.2.4.0(MIT License).txt
Jeff Forcier	BSD License	alabaster	https://alabaster.readthedocs.io	0.7.13	.licenses\LICENSE.alabaster.0.7.13(BSD License).txt
Alibaba Cloud	Apache Software License	aliyun-python-sdk-core	https://github.com/aliyun/aliyun-openapi-python-sdk	2.14.0	.licenses\LICENSE.aliyun-python-sdk-core.2.14.0(Apache Software License).txt
Aliyun	Apache Software License	aliyun-python-sdk-kms	http://develop.aliyun.com/sdk/python	2.16.2	.licenses\LICENSE.aliyun-python-sdk-kms.2.16.2(Apache Software License).txt
Andrey Kislyuk	Apache Software License	argcomplete	https://github.com/kislyuk/argcomplete	3.1.6	.licenses\LICENSE.argcomplete.3.1.6(Apache Software License).txt
Hynek Schlawack <hs@ox.cx>	MIT License	attrs	https://www.attrs.org/en/stable/changelog.html	23.1.0	.licenses\LICENSE.attrs.23.1.0(MIT License).txt
Tin Tvrtkovic <tinchester@gmail.com>	MIT License	cattrs	https://catt.rs	23.2.3	.licenses\LICENSE.cattrs.23.2.3(MIT License).txt
Kenneth Reitz	Mozilla Public License 2.0 (MPL 2.0)	certifi	https://github.com/certifi/python-certifi	2023.11.17	.licenses\LICENSE.certifi.2023.11.17(Mozilla Public License 2.0 (MPL 2.0)).txt
Armin Rigo, Maciej Fijalkowski	MIT License	cffi	http://cffi.readthedocs.org	1.16.0	.licenses\LICENSE.cffi.1.16.0(MIT License).txt
Ahmed TAHRI	MIT License	charset-normalizer	https://github.com/Ousret/charset_normalizer	3.3.2	.licenses\LICENSE.charset-normalizer.3.3.2(MIT License).txt
UNKNOWN	BSD License	click	https://palletsprojects.com/p/click/	8.1.7	.licenses\LICENSE.click.8.1.7(BSD License).txt
Jonathan Hartley <tartley@tartley.com>	BSD License	colorama	https://github.com/tartley/colorama	0.4.6	.licenses\LICENSE.colorama.0.4.6(BSD License).txt
Peter Odding	MIT License	coloredlogs	https://coloredlogs.readthedocs.io	15.0.1	.licenses\LICENSE.coloredlogs.15.0.1(MIT License).txt
Ian Thomas <ianthomas23@gmail.com>	BSD License	contourpy	https://github.com/contourpy/contourpy	1.2.0	.licenses\LICENSE.contourpy.1.2.0(BSD License).txt
Ray Buvel	MIT License	crcmod	http://crcmod.sourceforge.net/	1.7	.licenses\LICENSE.crcmod.1.7(MIT License).txt
The Python Cryptographic Authority and individual contributors <cryptography-dev@python.org>	Apache Software License; BSD License	cryptography	https://github.com/pyca/cryptography	41.0.5	.licenses\LICENSE.cryptography.41.0.5(Apache Software License; BSD License).txt
Thomas A Caswell <matplotlib-users@python.org>	BSD License	cycler	https://matplotlib.org/cycler/	0.12.1	.licenses\LICENSE.cycler.0.12.1(BSD License).txt
David Goodger	BSD License; GNU General Public License (GPL); Public Domain; Python Software Foundation License	docutils	https://docutils.sourceforge.io/	0.20.1	.licenses\LICENSE.docutils.0.20.1(BSD License; GNU General Public License (GPL); Public Domain; Python Software Foundation License).txt
Alex Rogozhnikov	MIT License	einops	https://github.com/arogozhnikov/einops	0.7.0	.licenses\LICENSE.einops.0.7.0(MIT License).txt
Alex Carney	MIT License	esbonio	https://swyddfa.github.io/esbonio/	0.16.3	.licenses\LICENSE.esbonio.0.16.3(MIT License).txt
UNKNOWN	The Unlicense (Unlicense)	filelock	https://github.com/tox-dev/py-filelock	3.13.1	.licenses\LICENSE.filelock.3.13.1(The Unlicense (Unlicense)).txt
Roger Labbe	MIT License	filterpy	https://github.com/rlabbe/filterpy	1.4.5	.licenses\LICENSE.filterpy.1.4.5(MIT License).txt
Derek Bailey	Apache Software License	flatbuffers	https://google.github.io/flatbuffers/	23.5.26	.licenses\LICENSE.flatbuffers.23.5.26(Apache Software License).txt
Just van Rossum	MIT License	fonttools	http://github.com/fonttools/fonttools	4.45.1	.licenses\LICENSE.fonttools.4.45.1(MIT License).txt
UNKNOWN	BSD License	fsspec	https://github.com/fsspec/filesystem_spec	2023.10.0	.licenses\LICENSE.fsspec.2023.10.0(BSD License).txt
Peter Odding	MIT License	humanfriendly	https://humanfriendly.readthedocs.io	10.0	.licenses\LICENSE.humanfriendly.10.0(MIT License).txt
Kim Davies <kim+pypi@gumleaf.org>	BSD License	idna	https://github.com/kjd/idna	3.5	.licenses\LICENSE.idna.3.5(BSD License).txt
Yoshiki Shibukawa	MIT License	imagesize	https://github.com/shibukawa/imagesize_py	1.4.1	.licenses\LICENSE.imagesize.1.4.1(MIT License).txt
Jason R. Coombs	Apache Software License	importlib-metadata	https://github.com/python/importlib_metadata	6.8.0	.licenses\LICENSE.importlib-metadata.6.8.0(Apache Software License).txt
Ronny Pfannschmidt <opensource@ronnypfannschmidt.de>, Holger Krekel <holger.krekel@gmail.com>	MIT License	iniconfig	https://github.com/pytest-dev/iniconfig	2.0.0	.licenses\LICENSE.iniconfig.2.0.0(MIT License).txt
Jason R. Coombs	MIT License	jaraco.classes	https://github.com/jaraco/jaraco.classes	3.3.0	.licenses\LICENSE.jaraco.classes.3.3.0(MIT License).txt
James Saryerwinnie	MIT License	jmespath	https://github.com/jmespath/jmespath.py	0.10.0	.licenses\LICENSE.jmespath.0.10.0(MIT License).txt
Kang Zhang	MIT License	keyring	https://github.com/jaraco/keyring	24.3.0	.licenses\LICENSE.keyring.24.3.0(MIT License).txt
The Nucleic Development Team <sccolbert@gmail.com>	BSD License	kiwisolver	https://github.com/nucleic/kiwi	1.4.5	.licenses\LICENSE.kiwisolver.1.4.5(BSD License).txt
Microsoft Corporation <lsprotocol-help@microsoft.com>	MIT License	lsprotocol	https://github.com/microsoft/lsprotocol	2023.0.0	.licenses\LICENSE.lsprotocol.2023.0.0(MIT License).txt
Chris Sewell <chrisj_sewell@hotmail.com>	MIT License	markdown-it-py	https://github.com/executablebooks/markdown-it-py	3.0.0	.licenses\LICENSE.markdown-it-py.3.0.0(MIT License).txt
Jacob Svensson	MIT License	mat4py	https://github.com/nephics/mat4py/	0.6.0	.licenses\LICENSE.mat4py.0.6.0(MIT License).txt
John D. Hunter, Michael Droettboom	Python Software Foundation License	matplotlib	https://matplotlib.org	3.8.2	.licenses\LICENSE.matplotlib.3.8.2(Python Software Foundation License).txt
Taneli Hukkinen <hukkin@users.noreply.github.com>	MIT License	mdurl	https://github.com/executablebooks/mdurl	0.1.2	.licenses\LICENSE.mdurl.0.1.2(MIT License).txt
MMClassification Contributors	Apache Software License	mmcls	https://github.com/open-mmlab/mmclassification	0.25.0	.licenses\LICENSE.mmcls.0.25.0(Apache Software License).txt
MMCV Contributors	Apache Software License	mmcv	https://github.com/open-mmlab/mmcv	2.1.0	.licenses\LICENSE.mmcv.2.1.0(Apache Software License).txt
MMCV Contributors	Apache Software License	mmcv-full	https://github.com/open-mmlab/mmcv	1.7.1	.licenses\LICENSE.mmcv-full.1.7.1(Apache Software License).txt
MMDetection Contributors	Apache Software License	mmdet	https://github.com/open-mmlab/mmdetection	3.2.0	.licenses\LICENSE.mmdet.3.2.0(Apache Software License).txt
MMEngine Authors	Apache Software License	mmengine	https://github.com/open-mmlab/mmengine	0.10.1	.licenses\LICENSE.mmengine.0.10.1(Apache Software License).txt
MMPretrain Contributors	Apache Software License	mmpretrain	https://github.com/open-mmlab/mmpretrain	1.1.1	.licenses\LICENSE.mmpretrain.1.1.1(Apache Software License).txt
Robert Stojnic	MIT	model-index	https://github.com/paperswithcode/model-index	0.1.11	.licenses\LICENSE.model-index.0.1.11(MIT).txt
Robert Stojnic	MIT	modelindex	https://github.com/paperswithcode/modelindex-alias	0.0.2	.licenses\LICENSE.modelindex.0.0.2(MIT).txt
Erik Rose <erikrose@grinchcentral.com>	MIT License	more-itertools	https://github.com/more-itertools/more-itertools	10.1.0	.licenses\LICENSE.more-itertools.10.1.0(MIT License).txt
Wiktor Muron	MIT License	motpy	https://github.com/wmuron/motpy.git	0.0.10	.licenses\LICENSE.motpy.0.0.10(MIT License).txt
Fredrik Johansson	BSD License	mpmath	http://mpmath.org/	1.3.0	.licenses\LICENSE.mpmath.1.3.0(BSD License).txt
Aric Hagberg <hagberg@lanl.gov>	BSD License	networkx	https://networkx.org/	3.2.1	.licenses\LICENSE.networkx.3.2.1(BSD License).txt
messense <messense@icloud.com>	MIT	nh3	UNKNOWN	0.2.14	.licenses\LICENSE.nh3.0.2.14(MIT).txt
Travis E. Oliphant et al.	BSD License	numpy	https://numpy.org	1.26.2	.licenses\LICENSE.numpy.1.26.2(BSD License).txt
Microsoft Corporation	MIT License	onnxruntime	https://onnxruntime.ai	1.16.3	.licenses\LICENSE.onnxruntime.1.16.3(MIT License).txt
UNKNOWN	Apache Software License	opencv-python	https://github.com/opencv/opencv-python	4.8.1.78	.licenses\LICENSE.opencv-python.4.8.1.78(Apache Software License).txt
OpenDataLab	MIT License	opendatalab	https://github.com/opendatalab/opendatalab-python-sdk	0.0.10	.licenses\LICENSE.opendatalab.0.0.10(MIT License).txt
MIM Authors	UNKNOWN	openmim	https://github.com/open-mmlab/mim	0.3.9	.licenses\LICENSE.openmim.0.3.9(UNKNOWN).txt
Openxlab Contributors	Apache License 2.0	openxlab	https://github.com/xxx/xxxx	0.0.29	.licenses\LICENSE.openxlab.0.0.29(Apache License 2.0).txt
Elia Robyn Lake <gh@arborelia.net>	MIT License	ordered-set	UNKNOWN	4.1.0	.licenses\LICENSE.ordered-set.4.1.0(MIT License).txt
UNKNOWN	MIT License	oss2	http://oss.aliyun.com	2.17.0	.licenses\LICENSE.oss2.2.17.0(MIT License).txt
Donald Stufft <donald@stufft.io>	Apache Software License; BSD License	packaging	https://github.com/pypa/packaging	23.2	.licenses\LICENSE.packaging.23.2(Apache Software License; BSD License).txt
The Pandas Development Team <pandas-dev@python.org>	BSD License	pandas	https://pandas.pydata.org	2.1.3	.licenses\LICENSE.pandas.2.1.3(BSD License).txt
The pip developers	MIT License	pip	https://pip.pypa.io/	23.3.1	.licenses\LICENSE.pip.23.3.1(MIT License).txt
Tres Seaver, Agendaless Consulting	MIT License	pkginfo	https://code.launchpad.net/~tseaver/pkginfo/trunk	1.9.6	.licenses\LICENSE.pkginfo.1.9.6(MIT License).txt
UNKNOWN	MIT License	platformdirs	https://github.com/platformdirs/platformdirs	4.0.0	.licenses\LICENSE.platformdirs.4.0.0(MIT License).txt
Holger Krekel	MIT License	pluggy	https://github.com/pytest-dev/pluggy	1.3.0	.licenses\LICENSE.pluggy.1.3.0(MIT License).txt
Luke Maurits <luke@maurits.id.au>	BSD License	prettytable	https://github.com/jazzband/prettytable	3.9.0	.licenses\LICENSE.prettytable.3.9.0(BSD License).txt
protobuf@googlegroups.com	3-Clause BSD License	protobuf	https://developers.google.com/protocol-buffers/	4.25.1	.licenses\LICENSE.protobuf.4.25.1(3-Clause BSD License).txt
UNKNOWN	FreeBSD	pycocotools	https://github.com/ppwwyyxx/cocoapi	2.0.7	.licenses\LICENSE.pycocotools.2.0.7(FreeBSD).txt
Eli Bendersky	BSD License	pycparser	https://github.com/eliben/pycparser	2.21	.licenses\LICENSE.pycparser.2.21(BSD License).txt
Helder Eijs	Apache Software License; BSD License; Public Domain	pycryptodome	https://www.pycryptodome.org	3.19.0	.licenses\LICENSE.pycryptodome.3.19.0(Apache Software License; BSD License; Public Domain).txt
Open Law Library	Other/Proprietary License	pygls	https://github.com/openlawlibrary/pygls	1.2.1	.licenses\LICENSE.pygls.1.2.1(OtherProprietary License).txt
Paul McGuire <ptmcg.gm+pyparsing@gmail.com>	MIT License	pyparsing	https://github.com/pyparsing/pyparsing/	3.1.1	.licenses\LICENSE.pyparsing.3.1.1(MIT License).txt
Bassem Girgis	BSD License	pyreadline3	https://pypi.python.org/pypi/pyreadline3/	3.4.1	.licenses\LICENSE.pyreadline3.3.4.1(BSD License).txt
Tyler Barrus <barrust@gmail.com>	MIT License	pyspellchecker	https://github.com/barrust/pyspellchecker	0.7.3	.licenses\LICENSE.pyspellchecker.0.7.3(MIT License).txt
Holger Krekel, Bruno Oliveira, Ronny Pfannschmidt, Floris Bruynooghe, Brianna Laugher, Florian Bruhin and others	MIT License	pytest	https://docs.pytest.org/en/latest/	7.4.3	.licenses\LICENSE.pytest.7.4.3(MIT License).txt
mrbean-bremen	MIT License	pytest-order	https://github.com/pytest-dev/pytest-order	1.2.0	.licenses\LICENSE.pytest-order.1.2.0(MIT License).txt
Gustavo Niemeyer	Apache Software License; BSD License	python-dateutil	https://github.com/dateutil/dateutil	2.8.2	.licenses\LICENSE.python-dateutil.2.8.2(Apache Software License; BSD License).txt
Stuart Bishop	MIT License	pytz	http://pythonhosted.org/pytz	2023.3.post1	.licenses\LICENSE.pytz.2023.3.post1(MIT License).txt
Mark Hammond (et al)	Python Software Foundation License	pywin32	https://github.com/mhammond/pywin32	306	.licenses\LICENSE.pywin32.306(Python Software Foundation License).txt
Enthought Inc.	BSD-3-Clause	pywin32-ctypes	https://github.com/enthought/pywin32-ctypes	0.2.2	.licenses\LICENSE.pywin32-ctypes.0.2.2(BSD-3-Clause).txt
The Python Packaging Authority <admin@mail.pypi.org>	Apache Software License	readme-renderer	UNKNOWN	42.0	.licenses\LICENSE.readme-renderer.42.0(Apache Software License).txt
Redis Inc.	MIT License	redis	https://github.com/redis/redis-py	5.0.1	.licenses\LICENSE.redis.5.0.1(MIT License).txt
Matthew Barnett	Apache Software License	regex	https://github.com/mrabarnett/mrab-regex	2023.10.3	.licenses\LICENSE.regex.2023.10.3(Apache Software License).txt
Kenneth Reitz	Apache Software License	requests	https://requests.readthedocs.io	2.28.2	.licenses\LICENSE.requests.2.28.2(Apache Software License).txt
Ian Cordasco, Cory Benfield	Apache Software License	requests-toolbelt	https://toolbelt.readthedocs.io/	1.0.0	.licenses\LICENSE.requests-toolbelt.1.0.0(Apache Software License).txt
Ian Stapleton Cordasco	Apache Software License	rfc3986	http://rfc3986.readthedocs.io	2.0.0	.licenses\LICENSE.rfc3986.2.0.0(Apache Software License).txt
Will McGugan	MIT License	rich	https://github.com/Textualize/rich	13.4.2	.licenses\LICENSE.rich.13.4.2(MIT License).txt
UNKNOWN	BSD License	scipy	https://scipy.org/	1.11.4	.licenses\LICENSE.scipy.1.11.4(BSD License).txt
Python Packaging Authority	MIT License	setuptools	https://github.com/pypa/setuptools	60.2.0	.licenses\LICENSE.setuptools.60.2.0(MIT License).txt
Sean Gillies	BSD License	shapely	https://github.com/shapely/shapely	2.0.2	.licenses\LICENSE.shapely.2.0.2(BSD License).txt
Benjamin Peterson	MIT License	six	https://github.com/benjaminp/six	1.16.0	.licenses\LICENSE.six.1.16.0(MIT License).txt
Snowball Developers	BSD License	snowballstemmer	https://github.com/snowballstem/snowball	2.2.0	.licenses\LICENSE.snowballstemmer.2.2.0(BSD License).txt
