Author	License	Name	URL	Version	File
Armin Ronacher	BSD License	Babel	https://babel.pocoo.org/	2.14.0	iinfer\licenses\LICENSE.Babel.2.14.0(BSD License).txt
Python Eel Organisation	MIT License	Eel	https://github.com/python-eel/Eel	0.16.0	iinfer\licenses\LICENSE.Eel.0.16.0(MIT License).txt
Armin Ronacher	BSD License	Jinja2	https://palletsprojects.com/p/jinja/	3.1.2	iinfer\licenses\LICENSE.Jinja2.3.1.2(BSD License).txt
Manfred Stienstra, Yuri Takhteyev	BSD License	Markdown	https://Python-Markdown.github.io/	3.5.1	iinfer\licenses\LICENSE.Markdown.3.5.1(BSD License).txt
UNKNOWN	BSD License	MarkupSafe	https://palletsprojects.com/p/markupsafe/	2.1.3	iinfer\licenses\LICENSE.MarkupSafe.2.1.3(BSD License).txt
Jeffrey A. Clark (Alex)	Historical Permission Notice and Disclaimer (HPND)	Pillow	https://python-pillow.org	10.1.0	iinfer\licenses\LICENSE.Pillow.10.1.0(Historical Permission Notice and Disclaimer (HPND)).txt
Kirill Simonov	MIT License	PyYAML	https://pyyaml.org/	6.0.1	iinfer\licenses\LICENSE.PyYAML.6.0.1(MIT License).txt
Georg Brandl <georg@python.org>	BSD License	Pygments	https://pygments.org	2.17.2	iinfer\licenses\LICENSE.Pygments.2.17.2(BSD License).txt
Georg Brandl <georg@python.org>	BSD License	Sphinx	https://www.sphinx-doc.org/	7.2.6	iinfer\licenses\LICENSE.Sphinx.7.2.6(BSD License).txt
Mats Julian Olsen	MIT License	addict	https://github.com/mewwts/addict	2.4.0	iinfer\licenses\LICENSE.addict.2.4.0(MIT License).txt
Jeff Forcier	BSD License	alabaster	https://alabaster.readthedocs.io	0.7.13	iinfer\licenses\LICENSE.alabaster.0.7.13(BSD License).txt
Alibaba Cloud	Apache Software License	aliyun-python-sdk-core	https://github.com/aliyun/aliyun-openapi-python-sdk	2.14.0	iinfer\licenses\LICENSE.aliyun-python-sdk-core.2.14.0(Apache Software License).txt
Aliyun	Apache Software License	aliyun-python-sdk-kms	http://develop.aliyun.com/sdk/python	2.16.2	iinfer\licenses\LICENSE.aliyun-python-sdk-kms.2.16.2(Apache Software License).txt
Andrey Kislyuk	Apache Software License	argcomplete	https://github.com/kislyuk/argcomplete	3.2.1	iinfer\licenses\LICENSE.argcomplete.3.2.1(Apache Software License).txt
Marcel Hellkamp	MIT License	bottle	http://bottlepy.org/	0.12.25	iinfer\licenses\LICENSE.bottle.0.12.25(MIT License).txt
Zach Kelling	MIT License	bottle-websocket	https://github.com/zeekay/bottle-websocket	0.2.9	iinfer\licenses\LICENSE.bottle-websocket.0.2.9(MIT License).txt
Kenneth Reitz	Mozilla Public License 2.0 (MPL 2.0)	certifi	https://github.com/certifi/python-certifi	2023.11.17	iinfer\licenses\LICENSE.certifi.2023.11.17(Mozilla Public License 2.0 (MPL 2.0)).txt
Armin Rigo, Maciej Fijalkowski	MIT License	cffi	http://cffi.readthedocs.org	1.16.0	iinfer\licenses\LICENSE.cffi.1.16.0(MIT License).txt
Ahmed TAHRI	MIT License	charset-normalizer	https://github.com/Ousret/charset_normalizer	3.3.2	iinfer\licenses\LICENSE.charset-normalizer.3.3.2(MIT License).txt
UNKNOWN	BSD License	click	https://palletsprojects.com/p/click/	8.1.7	iinfer\licenses\LICENSE.click.8.1.7(BSD License).txt
Jonathan Hartley <tartley@tartley.com>	BSD License	colorama	https://github.com/tartley/colorama	0.4.6	iinfer\licenses\LICENSE.colorama.0.4.6(BSD License).txt
Peter Odding	MIT License	coloredlogs	https://coloredlogs.readthedocs.io	15.0.1	iinfer\licenses\LICENSE.coloredlogs.15.0.1(MIT License).txt
Ian Thomas <ianthomas23@gmail.com>	BSD License	contourpy	https://github.com/contourpy/contourpy	1.2.0	iinfer\licenses\LICENSE.contourpy.1.2.0(BSD License).txt
Ray Buvel	MIT License	crcmod	http://crcmod.sourceforge.net/	1.7	iinfer\licenses\LICENSE.crcmod.1.7(MIT License).txt
The Python Cryptographic Authority and individual contributors <cryptography-dev@python.org>	Apache Software License; BSD License	cryptography	https://github.com/pyca/cryptography	41.0.7	iinfer\licenses\LICENSE.cryptography.41.0.7(Apache Software License; BSD License).txt
Thomas A Caswell <matplotlib-users@python.org>	BSD License	cycler	https://matplotlib.org/cycler/	0.12.1	iinfer\licenses\LICENSE.cycler.0.12.1(BSD License).txt
David Goodger	BSD License; GNU General Public License (GPL); Public Domain; Python Software Foundation License	docutils	https://docutils.sourceforge.io/	0.20.1	iinfer\licenses\LICENSE.docutils.0.20.1(BSD License; GNU General Public License (GPL); Public Domain; Python Software Foundation License).txt
Alex Rogozhnikov	MIT License	einops	https://github.com/arogozhnikov/einops	0.7.0	iinfer\licenses\LICENSE.einops.0.7.0(MIT License).txt
UNKNOWN	The Unlicense (Unlicense)	filelock	https://github.com/tox-dev/py-filelock	3.13.1	iinfer\licenses\LICENSE.filelock.3.13.1(The Unlicense (Unlicense)).txt
Roger Labbe	MIT License	filterpy	https://github.com/rlabbe/filterpy	1.4.5	iinfer\licenses\LICENSE.filterpy.1.4.5(MIT License).txt
